depth,blueshift,sigma
0.01,-514.0234992206597,479.13793573803883
0.02,-513.9589102028413,479.13793573803883
0.03,-513.9330420403802,479.13793573803883
0.04,-513.940247749512,479.13793573803883
0.05,-513.9748803464722,479.13793573803883
0.06,-514.0312928474963,479.13793573803883
0.07,-514.1038382688197,479.13793573803883
0.08,-514.186869626678,303.01073667688917
0.09,-514.2747399373067,303.01073667688917
0.1,-514.3618022169411,303.01073667688917
0.11,-514.442409481817,303.01073667688917
0.12,-514.5109147481695,303.01073667688917
0.13,-514.5616710322345,226.44606289310587
0.14,-514.5890313502471,226.44606289310587
0.15,-514.5873487184431,226.44606289310587
0.16,-514.550976153058,226.44606289310587
0.17,-514.474266670327,226.44606289310587
0.18,-514.3515732864859,199.21373051700286
0.19,-514.17724901777,199.21373051700286
0.2,-513.9456468804148,199.21373051700286
0.21,-513.6511198906559,199.21373051700286
0.22,-513.2880210647288,199.21373051700286
0.23,-512.8507034188689,208.5158773862336
0.24,-512.3335199693116,208.5158773862336
0.25,-511.7308237322926,208.5158773862336
0.26,-511.03696772404726,208.5158773862336
0.27,-510.24630496081113,208.5158773862336
0.28,-509.3531884588198,232.6194796823422
0.29,-508.35197123430856,232.6194796823422
0.3,-507.2370063035129,232.6194796823422
0.31,-506.00264668266846,232.6194796823422
0.32,-504.64324538801066,232.6194796823422
0.33,-503.15315543577503,194.78191682251367
0.34,-501.52672984219714,194.78191682251367
0.35,-499.75832162351224,194.78191682251367
0.36,-497.8422837959559,194.78191682251367
0.37,-495.7729693757638,194.78191682251367
0.38,-493.5447313791713,155.62269931207487
0.39,-491.15192282241384,155.62269931207487
0.4,-488.588896721727,155.62269931207487
0.41,-485.8500060933462,155.62269931207487
0.42,-482.92960395350696,155.62269931207487
0.43,-479.82204331844474,152.5225360699742
0.44,-476.5216772043952,152.5225360699742
0.45,-473.0228586275937,152.5225360699742
0.46,-469.31994060427564,152.5225360699742
0.47,-465.4072761506767,152.5225360699742
0.48,-461.2792182830321,284.18857584250674
0.49,-456.93012001757774,284.18857584250674
0.5,-452.3543343705487,284.18857584250674
0.51,-447.5462143581807,284.18857584250674
0.52,-442.5001129967093,284.18857584250674
0.53,-437.21038330236973,248.6246844283915
0.54,-431.67137829139773,248.6246844283915
0.55,-425.87745098002847,248.6246844283915
0.56,-419.82295438449785,248.6246844283915
0.57,-413.50224152104124,248.6246844283915
0.58,-406.90966540589403,224.1656784972652
0.59,-400.03957905529165,224.1656784972652
0.6,-392.8863354854698,224.1656784972652
0.61,-385.4442877126637,224.1656784972652
0.62,-377.70778875310907,224.1656784972652
0.63,-369.6711916230414,323.3787569872026
0.64,-361.32884933869605,323.3787569872026
0.65,-352.67511491630853,323.3787569872026
0.66,-343.7043413721144,323.3787569872026
0.67,-334.41088172234925,323.3787569872026
0.68,-324.78908898324823,215.47277194145437
0.69,-314.8333161710474,215.47277194145437
0.7,-304.53791630198174,215.47277194145437
0.71,-293.89724239228684,215.47277194145437
0.72,-282.9056474581982,215.47277194145437
0.73,-271.55748451595144,291.68861884313367
0.74,-259.84710658178204,291.68861884313367
0.75,-247.7688666719253,291.68861884313367
0.76,-235.31711780261696,291.68861884313367
0.77,-222.48621299009238,291.68861884313367
0.78,-209.27050525058706,193.2021999999361
0.79,-195.66434760033644,193.2021999999361
0.8,-181.66209305557612,193.2021999999361
0.81,-167.25809463254149,193.2021999999361
0.82,-152.44670534746842,193.2021999999361
0.83,-137.2222782165917,200.44788096641815
0.84,-121.57916625614723,200.44788096641815
0.85,-105.51172248237049,200.44788096641815
0.86,-89.014299911497,200.44788096641815
0.87,-72.08125155976211,200.44788096641815
0.88,-54.706930443401575,128.68565311968766
0.89,-36.8856895786505,128.68565311968766
0.9,-18.611881981744887,128.68565311968766
0.91,0.12013933108028141,128.68565311968766
0.92,19.316021343589227,128.68565311968766
0.93,38.981411039546515,117.98191386818574
0.94,59.121955402716594,117.98191386818574
0.95,79.74330141686414,117.98191386818574
0.96,100.85109606575372,117.98191386818574
0.97,122.45098633314956,117.98191386818574
0.98,144.54861920281633,117.98191386818574
0.99,167.14964165851836,117.98191386818574
1.0,190.25970068402057,117.98191386818574
