depth,blueshift,sigma
0.0,-445.935185036567,456.6086766285089
0.001,-445.6816944271345,454.6784974553683
0.002,-445.42892175863767,452.7569040736453
0.003,-445.1768625127455,450.84387993464816
0.004,-444.925512171127,448.9394084896852
0.005,-444.67486621545135,447.0434731900647
0.006,-444.42492012738734,445.1560574870949
0.007,-444.175669388604,443.2771448320842
0.008,-443.9271094807702,441.40671867634086
0.009,-443.67923588555533,439.54476247117316
0.01,-443.4320440846276,437.69125966788937
0.011,-443.18552955965674,435.8461937177978
0.012,-442.93968779231153,434.00954807220677
0.013,-442.6945142642608,432.1813061824245
0.014,-442.4500044571736,430.3614514997594
0.015,-442.2061538527189,428.54996747551974
0.016,-441.96295793256564,426.7468375610137
0.017,-441.7204121783829,424.9520452075497
0.018,-441.47851207183965,423.165573866436
0.019,-441.23725309460485,421.38740698898084
0.02,-440.9966307283472,419.6175280264926
0.021,-440.7566404547363,417.8559204302795
0.022,-440.51727775544066,416.10256765164985
0.023,-440.2785381121294,414.357453141912
0.024,-440.04041700647133,412.6205603523742
0.025,-439.80290992013573,410.89187273434476
0.026,-439.5660123347915,409.1713737391319
0.027,-439.32971973210743,407.45904681804404
0.028,-439.0940275937527,405.7548754223894
0.029,-438.85893140139615,404.0588430034763
0.03,-438.62442663670686,402.37093301261297
0.031,-438.39050878135384,400.6911289011078
0.032,-438.1571733170059,399.019414120269
0.033,-437.924415725332,397.3557721214049
0.034,-437.6922314880014,395.70018635582386
0.035,-437.4606160866831,394.05264027483406
0.036,-437.2295650030458,392.4131173297439
0.037,-436.99907371875855,390.78160097186156
0.038,-436.7691377154905,389.15807465249543
0.039,-436.5397524749104,387.5425218229538
0.04,-436.3109134786873,385.9349259345449
0.041,-436.08261620849015,384.335270438577
0.042,-435.85485614598815,382.7435387863585
0.043,-435.62762877285024,381.15971442919766
0.044,-435.4009295707451,379.5837808184028
0.045,-435.174754021342,378.01572140528214
0.046,-434.94909760630975,376.45551964114395
0.047,-434.7239558073174,374.90315897729664
0.048,-434.4993241060342,373.35862286504846
0.049,-434.2751979841286,371.8218947557077
0.05,-434.0515729232698,370.2929581005826
0.051,-433.8284444051269,368.77179635098156
0.052,-433.605807911369,367.25839295821277
0.053,-433.38365892366454,365.7527313735846
0.054,-433.1619929236832,364.2547950484053
0.055,-432.9408053930933,362.7645674339832
0.056,-432.7200918135643,361.2820319816265
0.057,-432.4998476667652,359.80717214264365
0.058,-432.28006843436447,358.33997136834284
0.059,-432.0607495980316,356.88041311003235
0.06,-431.84188663943536,355.4284808190206
0.061,-431.62347504024484,353.9841579466157
0.062,-431.4055102821288,352.54742794412607
0.063,-431.18798784675636,351.11827426286
0.064,-430.9709032157967,349.69668035412576
0.065,-430.75425187091844,348.2826296692316
0.066,-430.53802929379066,346.8761056594859
0.067,-430.3222309660825,345.47709177619686
0.068,-430.1068523694628,344.0855714706729
0.069,-429.89188898560076,342.7015281942222
0.07,-429.6773362961651,341.3249453981531
0.071,-429.4631897828248,339.95580653377385
0.072,-429.2494449272491,338.59409505239284
0.073,-429.0360972111067,337.2397944053183
0.074,-428.8231421160668,335.8928880438585
0.075,-428.61057512379807,334.5533594193218
0.076,-428.3983917159698,333.2211919830164
0.077,-428.18658737425085,331.89636918625075
0.078,-427.9751575803103,330.578874480333
0.079,-427.7640978158168,329.2686913165715
0.08,-427.5534035624399,327.96580314627454
0.081,-427.3430703018482,326.67019342075037
0.082,-427.1330935157107,325.38184559130735
0.083,-426.92346868569643,324.1007431092538
0.084,-426.7141912934743,322.82686942589794
0.085,-426.50525682071327,321.56020799254804
0.086,-426.29666074908255,320.3007422605125
0.087,-426.088398560251,319.04845568109954
0.088,-425.8804657358878,317.8033317056175
0.089,-425.6728577576613,316.5653537853746
0.09,-425.4655701072411,315.33450537167926
0.091,-425.25859826629596,314.1107699158396
0.092,-425.05193771649476,312.8941308691641
0.093,-424.8455839395067,311.6845716829609
0.094,-424.63953241700074,310.48207580853835
0.095,-424.43377863064563,309.2866266972048
0.096,-424.22831806211025,308.0982078002685
0.097,-424.02314619306424,306.9168025690377
0.098,-423.8182585051761,305.7423944548208
0.099,-423.61365048011476,304.57496690892594
0.1,-423.4093175995491,303.4145033826616
0.101,-423.2052553451489,302.2609873273359
0.102,-423.0014591985822,301.11440219425725
0.103,-422.79792464151853,299.97473143473394
0.104,-422.5946471556266,298.8419585000742
0.105,-422.39162222257573,297.7160668415863
0.106,-422.1888453240342,296.5970399105787
0.107,-421.9863119416717,295.4848611583595
0.108,-421.78401755715686,294.37951403623714
0.109,-421.5819576521585,293.2809819955198
0.11,-421.3801277083461,292.1892484875159
0.111,-421.1785232073888,291.10429696353356
0.112,-420.9771396309543,290.0261108748813
0.113,-420.7759724607133,288.9546736728672
0.114,-420.5750171783335,287.8899688087997
0.115,-420.37426926548426,286.831979733987
0.116,-420.1737242038347,285.78068989973747
0.117,-419.9733774750538,284.7360827573594
0.118,-419.7732245608104,283.698141758161
0.119,-419.57326094277346,282.6668503534506
0.12,-419.37348210261246,281.6421919945365
0.121,-419.17388352199555,280.62415013272704
0.122,-418.9744606825923,279.61270821933056
0.123,-418.7752090660716,278.6078497056552
0.124,-418.57612415410176,277.6095580430093
0.125,-418.3772014283534,276.61781668270123
0.126,-418.1784363704937,275.6326090760393
0.127,-417.97982446219214,274.6539186743316
