name,species,mass,air_wavelength,g_eff,height,lower_level,upper_level,spectra_dir
FeI_5250.2,FeI,55.845,5250.2084,3.00,310,0.12126572,2.48211840,FeI_5250
FeI_5250.6,FeI,55.845,5250.6453,1.50,360,2.19786640,4.55852281,FeI_5250
FeI_5379,FeI,55.845,5379.5734,1.1,,3.69459719,5.99867825,CI_5380
CI_5380,CI,12.0107,5380.3308,1.00,40.0,7.68476777,9.98852478,CI_5380
TiII_5381,TiII,47.867,5381.0216,0.92,,1.56577729,3.86923825,CI_5380
FeI_5382,FeI,55.845,5382.2562,1.08,,0.12126572,2.42419831,CI_5380
FeI_5383,FeI,55.845,5383.3680,1.12,,4.31247059,6.61492758,CI_5380
FeI_5432,FeI,55.845,5432.9470,0.50,250.0,4.44562726,6.72707289,FeI_5434
FeI_5434,FeI,55.845,5434.5232,0.00,550.0,1.01105568,3.29183986,FeI_5434
NiI_5435,NiI,58.6934,5435.8577,0.51,,1.9858928,4.2661171,FeI_5434
FeI_5436.3,FeI,55.845,5436.2945,1.29,,4.38646275,6.66650376,FeI_5434
FeI_5436.6,FeI,55.845,5436.5875,1.82,,2.27860466,4.55852281,FeI_5434
FeI_5576,FeI,55.845,5576.0881,0.00,360.0,3.43018998,5.65307019,FeI_5576
NiI_5578,NiI,58.6934,5578.718,1.1,,1.6764334,3.8982659,FeI_5576
NaI_5896,NaI,22.989769,5895.92424,1.33,800.0,0.00,2.102297177,NaI_5896
FeII_6149,FeII,55.845,6149.2460,1.33,130.0,3.88919250,5.90488507,FeII_6149
FeI_6151,FeI,55.845,6151.6170,1.84,,2.17594512,4.19086081,FeII_6149
CaI_6169.0,CaI,40.078,6169.042,1.0,,2.5229867,4.5322113,FeI_6173
FeI_6173,FeI,55.845,6173.3344,2.50,270.0,2.22271209,4.23053960,FeI_6173
FeI_6301,FeI,55.845,6301.5008,1.67,340.0,3.65369332,5.62068415,FeI_6302
FeI_6302,FeI,55.845,6302.4932,2.50,260.0,3.68638944,5.65307019,FeI_6302
