species,wav_air,excit_pot,vmic,log_gf,rad,stark,waals,lande,depth
Fe 2,3000.0615,3.8143,1.0,-1.608,8.59,-6.51,-7.888,1.25,0.893
Hf 2,3000.1,0.3783,1.0,-1.13,0.0,0.0,0.0,1.06,0.106
OH 1,3000.2045,1.7235,1.0,-1.755,0.0,0.0,0.0,99.0,0.148
Fe 1,3000.2054,3.6025,1.0,-2.596,8.86,-3.94,-7.29,1.55,0.3
Ti 1,3000.2442,1.4601,1.0,-1.583,7.68,-4.56,-7.42,1.18,0.117
Fe 1,3000.2753,3.2671,1.0,-3.42,7.11,-4.17,-7.19,1.12,0.112
Fe 1,3000.2873,3.2671,1.0,-3.779,7.29,-4.61,-7.28,1.12,0.054
Fe 1,3000.3785,3.3014,1.0,-2.715,7.26,-4.41,-7.33,0.91,0.403
Fe 1,3000.4511,1.4849,1.0,-1.095,7.34,-6.23,-7.83,1.11,0.989
Fe 1,3000.4682,2.6085,1.0,-2.266,7.93,-6.0,-7.5,1.7,0.899
Co 1,3000.5475,0.1012,1.0,-2.12,8.04,-6.1,-7.655,1.08,0.94
Fe 1,3000.5765,3.2112,1.0,-1.464,7.8,-3.57,-7.14,1.52,0.911
Cr 2,3000.6346,6.1452,1.0,-0.673,8.82,-5.69,-7.415,1.53,0.122
Ni 2,3000.6671,2.8651,1.0,-3.699,8.62,-6.63,-7.92,2.19,0.209
Ca 1,3000.8634,1.8858,1.0,-0.862,8.18,-5.86,-7.355,1.5,0.927
Ti 1,3000.8653,0.048,1.0,-0.83,7.51,-6.11,-7.483,1.26,0.943
Fe 1,3000.882,2.2786,1.0,-4.347,8.05,-5.0,-7.49,1.75,0.12
Cr 1,3000.884,1.0037,1.0,-0.15,8.21,-5.98,-7.562,1.5,0.977
Fe 1,3000.9476,0.0873,1.0,-0.585,8.3,-6.16,-7.696,1.5,0.995
Fe 1,3000.9631,3.2671,1.0,-3.481,7.14,-4.09,-7.21,1.11,0.1
Fe 1,3001.0501,3.6416,1.0,-2.527,8.29,-3.24,-7.02,1.0,0.318
V 2,3001.2041,1.7037,1.0,0.32,8.58,-6.46,-7.86,1.59,0.95
V 2,3001.213,2.5562,1.0,-1.552,8.49,-6.49,-7.86,1.49,0.101
Fe 1,3001.6477,2.4242,1.0,-2.24,8.19,-5.71,-7.71,1.37,0.918
Fe 1,3001.7452,3.2112,1.0,-0.958,7.97,-3.77,-7.22,1.42,0.94
V 2,3001.7501,2.5569,1.0,-0.32,8.49,-6.49,-7.86,1.32,0.693
Fe 1,3001.786,2.6085,1.0,-2.508,7.93,-4.42,-7.47,0.94,0.864
Fe 1,3001.8335,3.111,1.0,-2.895,7.79,-4.84,-7.4,0.89,0.404
Ti 1,3001.8677,1.4298,1.0,-1.438,7.65,-4.81,-7.42,0.67,0.164
Fe 1,3001.9264,3.0176,1.0,-2.257,7.98,-5.72,-7.73,0.93,0.821
V 2,3001.9412,2.036,1.0,-1.597,8.4,-6.5,-7.85,1.0,0.245
OH 1,3002.0243,1.2485,1.0,-1.872,0.0,0.0,0.0,99.0,0.287
Fe 1,3002.0284,3.283,1.0,-2.54,7.68,-3.78,-7.12,1.75,0.53
OH 1,3002.1626,1.0592,1.0,-2.336,0.0,0.0,0.0,99.0,0.163
OH 1,3002.1939,1.5057,1.0,-1.646,0.0,0.0,0.0,99.0,0.275
Ni 1,3002.2247,1.9508,1.0,-3.619,7.65,-4.85,-7.62,0.85,0.148
Pt 1,3002.2643,0.1021,1.0,-1.78,0.0,0.0,0.0,1.31,0.177
Fe 2,3002.3192,3.9442,1.0,-1.662,8.5,-6.58,-7.791,0.94,0.873
Mn 1,3002.3751,4.3446,1.0,-0.652,8.05,-4.6,-7.33,1.26,0.107
Dy 2,3002.386,1.3135,1.0,-0.124,0.0,0.0,0.0,1.74,0.058
Er 2,3002.406,0.8462,1.0,0.39,0.0,0.0,0.0,1.04,0.329
Fe 1,3002.409,3.2112,1.0,-1.917,7.77,-3.95,-7.28,1.84,0.857
Fe 1,3002.4286,3.2657,1.0,-2.809,7.84,-3.56,-7.25,0.71,0.364
Ni 1,3002.4854,0.0254,1.0,-0.06,8.15,-6.15,-7.757,1.27,0.995
Cr 1,3002.5522,3.3752,1.0,-1.231,8.29,-5.19,-7.62,0.72,0.097
Mn 1,3002.6182,2.1782,1.0,-1.977,6.48,-6.17,-7.78,1.47,0.435
Fe 2,3002.6421,8.7179,1.0,0.097,8.95,-5.73,-7.425,1.11,0.073
Fe 2,3002.6445,1.6953,1.0,-0.93,8.5,-6.56,-7.777,1.48,0.992
Pd 1,3002.649,0.8138,1.0,-1.06,0.0,0.0,0.0,1.21,0.174
V 1,3002.654,1.0806,1.0,-0.74,8.23,-5.08,-7.57,1.28,0.177
Ti 1,3002.7253,0.048,1.0,-2.31,7.54,-6.11,-7.77,1.49,0.412
Gd 2,3002.862,0.9909,1.0,0.32,0.0,0.0,0.0,1.12,0.185
Fe 1,3003.0305,0.9582,1.0,-1.295,8.78,-5.79,-7.67,1.5,0.992
Ti 2,3003.1314,3.9707,1.0,-1.37,8.81,-5.83,-7.72,1.05,0.071
Fe 1,3003.2517,3.283,1.0,-3.158,7.69,-3.52,-7.13,1.63,0.185
Fe 1,3003.3037,2.8755,1.0,-3.596,7.33,-4.18,-7.33,1.51,0.16
Fe 1,3003.3407,2.9488,1.0,-2.948,7.93,-6.12,-7.79,0.6,0.472
V 2,3003.4639,1.6855,1.0,-0.33,8.56,-6.46,-7.86,1.73,0.908
Cr 2,3003.4889,4.4272,1.0,-2.302,8.41,-6.5,-7.774,1.36,0.092
Ni 1,3003.6209,0.1091,1.0,-0.32,8.07,-6.16,-7.748,1.17,0.995
Ti 1,3003.6461,1.4432,1.0,-1.448,7.66,-4.77,-7.42,1.07,0.156
Fe 1,3003.6855,3.2112,1.0,-0.411,7.83,-3.65,-7.14,1.01,0.961
Zr 2,3003.733,0.5586,1.0,-0.55,0.0,0.0,0.0,1.26,0.852
Dy 2,3003.764,0.1027,1.0,-1.21,0.0,0.0,0.0,0.86,0.069
Fe 1,3003.846,3.274,1.0,-2.904,7.39,-3.76,-7.26,1.43,0.304
Cr 2,3003.9113,3.8644,1.0,-0.736,8.39,-6.5,-7.867,1.08,0.87
Cr 1,3003.9955,2.9826,1.0,-0.449,8.36,-5.69,-7.7,0.82,0.681
Fe 1,3004.0737,3.2515,1.0,-1.617,8.15,-3.43,-7.17,1.33,0.893
